StatementNumber;Action;AccessLevel;Resource;Description;Documentation
1;glacier:GetVaultAccessPolicy;Read;True;Grants permission to retrieve the access-policy subresource set on the vault;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3glacier.html
1;glue:GetDatabases;Read;True;Grants permission to retrieve all databases;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsglue.html
1;iam:GetServerCertificate;Read;True;Grants permission to retrieve information about the specified server certificate stored in IAM;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
1;iam:GetSSHPublicKey;Read;True;Grants permission to retrieve the specified SSH public key, including metadata about the key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
1;kms:GenerateDataKey;Write;True;Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyPair;Write;True;Controls permission to use the AWS KMS key to generate data key pairs;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyPairWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateMac;Write;True;Controls permission to use the AWS KMS key to generate message authentication codes;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateRandom;Write;False;Controls permission to get a cryptographically secure random byte string from AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
