StatementNumber;Action;AccessLevel;Resource;Description;Documentation
1;glacier:GetVaultAccessPolicy;Read;True;Grants permission to retrieve the access-policy subresource set on the vault;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3glacier.html
1;glue:GetDatabases;Read;True;Grants permission to retrieve all databases;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsglue.html
1;iam:GetServerCertificate;Read;True;Grants permission to retrieve information about the specified server certificate stored in IAM;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
1;iam:GetSSHPublicKey;Read;True;Grants permission to retrieve the specified SSH public key, including metadata about the key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
1;kms:GenerateDataKey;Write;True;Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyPair;Write;True;Controls permission to use the AWS KMS key to generate data key pairs;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyPairWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateDataKeyWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateMac;Write;True;Controls permission to use the AWS KMS key to generate message authentication codes;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:GenerateRandom;Write;False;Controls permission to get a cryptographically secure random byte string from AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;glue:GetSecurityConfigurations;Read;False;Grants permission to retrieve one or more security configurations;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsglue.html
1;logs:GetLogEvents;Read;True;Grants permissions to retrieve log events from the specified log stream;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncloudwatchlogs.html
1;ssm:GetParameters;Read;True;Grants permission to view information about multiple specified parameters;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awssystemsmanager.html
1;iam:UpdateAccountPasswordPolicy;Write;False;Grants permission to update the password policy settings for the AWS account;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
1;s3:PutBucketAcl;Permissions management;True;Grants permission to set the permissions on an existing bucket using access control lists (ACLs);https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;ec2:RevokeSecurityGroupEgress;Write;True;Grants permission to remove one or more outbound rules from a VPC security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:RevokeSecurityGroupIngress;Write;True;Grants permission to remove one or more inbound rules from a security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;cloudtrail:UpdateTrail;Write;True;Grants permission to update the settings that specify delivery of log files;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudtrail.html
1;kms:EnableKeyRotation;Write;True;Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;ec2:ModifySubnetAttribute;Write;True;Grants permission to modify an attribute of a subnet;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;s3:PutBucketPublicAccessBlock;Permissions management;True;Grants permission to create or modify the PublicAccessBlock configuration for a specific Amazon S3 bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:GetObject;Read;True;Grants permission to retrieve objects from Amazon S3;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutObject;Write;True;Grants permission to add an object to a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutObjectAcl;Permissions management;True;Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutObjectTagging;Tagging;True;Grants permission to set the supplied tag-set to an object that already exists in a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
